complaint_id,title,text,category,priority,location,existing,resolution_summary
CMP0175,Drain overflow near sector 12 school is creating,Drain overflow near sector 12 school is creating a dangerous unhygienic situation please look into this as soon as possible.,Drainage,Critical,Gandhi Street,0,Drain cleared and de-flooded.
CMP0176,Sewage flooding the street in gandhi street is,Sewage flooding the street in gandhi street is a serious health risk for children please look into this as soon as possible.,Drainage,Critical,Block B,1,Drain cleared and de-flooded.
CMP0177,Drainage in kannagi street is slow and water,Drainage in kannagi street is slow and water stays for long.,Drainage,Medium,Lake View Road,1,Drain cleared and de-flooded.
CMP0178,Drain overflow near anna nagar school is creating,Drain overflow near anna nagar school is creating a dangerous unhygienic situation.,Drainage,Critical,Near The City School,1,Drain cleared and de-flooded.
CMP0179,Drainage in main road near the market is,Drainage in main road near the market is slow and water stays for long.,Drainage,Medium,Jubilee Bus Stop,1,Drain cleared and de-flooded.
CMP0180,Drain overflow near gandhi street school is creating,Drain overflow near gandhi street school is creating a dangerous unhygienic situation.,Drainage,Critical,First Cross Street,0,Drain cleared and de-flooded.
CMP0181,Open drain in lake view road is clogged,Open drain in lake view road is clogged and water logs the street.,Drainage,High,Lake View Road,1,Drain cleared and de-flooded.
CMP0182,Sewage is blocked in first cross street and,Sewage is blocked in first cross street and flowing back into houses.,Drainage,High,Lake View Road,1,Drain cleared and de-flooded.
CMP0183,Sewage flooding the street in gandhi street is,Sewage flooding the street in gandhi street is a serious health risk for children please look into this as soon as possible.,Drainage,Critical,Near The City School,1,Drain cleared and de-flooded.
CMP0184,Sewage flooding the street in gandhi street is,Sewage flooding the street in gandhi street is a serious health risk for children.,Drainage,Critical,Gandhi Street,1,Drain cleared and de-flooded.
CMP0185,Open drain in main road near the market,Open drain in main road near the market is clogged and water logs the street.,Drainage,High,Main Road Near The Market,0,Drain cleared and de-flooded.
CMP0186,Sewage is blocked in kamaraj colony and flowing,Sewage is blocked in kamaraj colony and flowing back into houses.,Drainage,High,Lake View Road,1,Drain cleared and de-flooded.
CMP0187,Drainage in jubilee bus stop is slow and,Drainage in jubilee bus stop is slow and water stays for long.,Drainage,Medium,Sector 12,1,Drain cleared and de-flooded.
CMP0188,Drain overflow near mg road school is creating,Drain overflow near mg road school is creating a dangerous unhygienic situation.,Drainage,Critical,Gandhi Street,1,Drain cleared and de-flooded.
CMP0189,Drainage in near the city school is slow,Drainage in near the city school is slow and water stays for long please look into this as soon as possible.,Drainage,Medium,Mg Road,1,Drain cleared and de-flooded.
CMP0190,Sewage flooding the street in first cross street,Sewage flooding the street in first cross street is a serious health risk for children.,Drainage,Critical,Kannagi Street,0,Drain cleared and de-flooded.
CMP0191,Drainage in gandhi street is slow and water,Drainage in gandhi street is slow and water stays for long.,Drainage,Medium,Anna Nagar,1,Drain cleared and de-flooded.
CMP0192,Sewage is blocked in anna nagar and flowing,Sewage is blocked in anna nagar and flowing back into houses.,Drainage,High,Lake View Road,1,Drain cleared and de-flooded.
CMP0193,Drainage water is overflowing onto the road in,Drainage water is overflowing onto the road in sector 12.,Drainage,High,Main Road Near The Market,1,Drain cleared and de-flooded.
CMP0194,Drainage water is overflowing onto the road in,Drainage water is overflowing onto the road in kannagi street.,Drainage,High,Near The City School,1,Drain cleared and de-flooded.
CMP0195,Drainage in gandhi street is slow and water,Drainage in gandhi street is slow and water stays for long please look into this as soon as possible.,Drainage,Medium,Gandhi Street,0,Drain cleared and de-flooded.
CMP0196,Drainage in gandhi street is slow and water,Drainage in gandhi street is slow and water stays for long.,Drainage,Medium,Gandhi Street,1,Drain cleared and de-flooded.
CMP0197,Sewage flooding the street in kannagi street is,Sewage flooding the street in kannagi street is a serious health risk for children.,Drainage,Critical,Near The City School,1,Drain cleared and de-flooded.
CMP0198,Drain overflow near first cross street school is,Drain overflow near first cross street school is creating a dangerous unhygienic situation.,Drainage,Critical,Kamaraj Colony,1,Drain cleared and de-flooded.
CMP0199,Sewage is blocked in gandhi street and flowing,Sewage is blocked in gandhi street and flowing back into houses please look into this as soon as possible.,Drainage,High,Near The City School,1,Drain cleared and de-flooded.
CMP0200,Drain overflow near first cross street school is,Drain overflow near first cross street school is creating a dangerous unhygienic situation please look into this as soon as possible.,Drainage,Critical,Mg Road,0,Drain cleared and de-flooded.
CMP0201,A single street lamp in anna nagar flickers,A single street lamp in anna nagar flickers occasionally.,Street Lights,Low,First Cross Street,1,Street light repaired and working.
CMP0202,Street lights in first cross street are off,Street lights in first cross street are off and the area is completely dark after sunset.,Street Lights,High,Kamaraj Colony,1,Street light repaired and working.
CMP0203,Street lights in jubilee bus stop are off,Street lights in jubilee bus stop are off and the area is completely dark after sunset.,Street Lights,High,Near The City School,1,Street light repaired and working.
CMP0204,A single street lamp in mg road flickers,A single street lamp in mg road flickers occasionally.,Street Lights,Low,Mg Road,1,Street light repaired and working.
CMP0205,Lamps in gandhi street are not glowing since,Lamps in gandhi street are not glowing since last week.,Street Lights,High,First Cross Street,0,Street light repaired and working.
CMP0206,Street light near kamaraj colony has not been,Street light near kamaraj colony has not been working for 5 days.,Street Lights,High,Main Road Near The Market,1,Street light repaired and working.
CMP0207,Streetlight in sector 12 remains off for several,Streetlight in sector 12 remains off for several days.,Street Lights,High,Kamaraj Colony,1,Street light repaired and working.
CMP0208,Lamps in gandhi street are not glowing since,Lamps in gandhi street are not glowing since last week please look into this as soon as possible.,Street Lights,High,Jubilee Bus Stop,1,Street light repaired and working.
CMP0209,All street lights are dark in kannagi street,All street lights are dark in kannagi street creating safety issues at night.,Street Lights,High,Block B,1,Street light repaired and working.
CMP0210,A single street lamp in kannagi street flickers,A single street lamp in kannagi street flickers occasionally.,Street Lights,Low,Kamaraj Colony,0,Street light repaired and working.
CMP0211,All street lights are dark in jubilee bus,All street lights are dark in jubilee bus stop creating safety issues at night.,Street Lights,High,Kamaraj Colony,1,Street light repaired and working.
CMP0212,A single street lamp in kannagi street flickers,A single street lamp in kannagi street flickers occasionally please look into this as soon as possible.,Street Lights,Low,Anna Nagar,1,Street light repaired and working.
CMP0213,A single street lamp in mg road flickers,A single street lamp in mg road flickers occasionally.,Street Lights,Low,Gandhi Street,1,Street light repaired and working.
CMP0214,A single street lamp in kannagi street flickers,A single street lamp in kannagi street flickers occasionally please look into this as soon as possible.,Street Lights,Low,Anna Nagar,1,Street light repaired and working.
CMP0215,A single street lamp in kannagi street flickers,A single street lamp in kannagi street flickers occasionally please look into this as soon as possible.,Street Lights,Low,Sector 12,0,Street light repaired and working.
CMP0216,All street lights are dark in gandhi street,All street lights are dark in gandhi street creating safety issues at night.,Street Lights,High,First Cross Street,1,Street light repaired and working.
CMP0217,A single street lamp in lake view road,A single street lamp in lake view road flickers occasionally please look into this as soon as possible.,Street Lights,Low,Gandhi Street,1,Street light repaired and working.
CMP0218,A single street lamp in anna nagar flickers,A single street lamp in anna nagar flickers occasionally.,Street Lights,Low,Gandhi Street,1,Street light repaired and working.
CMP0219,A single street lamp in jubilee bus stop,A single street lamp in jubilee bus stop flickers occasionally.,Street Lights,Low,Jubilee Bus Stop,1,Street light repaired and working.
CMP0220,A single street lamp in lake view road,A single street lamp in lake view road flickers occasionally please look into this as soon as possible.,Street Lights,Low,Kannagi Street,0,Street light repaired and working.
CMP0221,A single street lamp in mg road flickers,A single street lamp in mg road flickers occasionally.,Street Lights,Low,Near The City School,1,Street light repaired and working.
CMP0222,Street light near jubilee bus stop has not,Street light near jubilee bus stop has not been working for 3 days.,Street Lights,High,Near The City School,1,Street light repaired and working.
CMP0223,Street light near sector 12 has not been,Street light near sector 12 has not been working for 3 days.,Street Lights,High,Block B,1,Street light repaired and working.
CMP0224,A single street lamp in near the city,A single street lamp in near the city school flickers occasionally please look into this as soon as possible.,Street Lights,Low,Main Road Near The Market,1,Street light repaired and working.
CMP0225,Street lights in kamaraj colony are off and,Street lights in kamaraj colony are off and the area is completely dark after sunset please look into this as soon as possible.,Street Lights,High,Mg Road,0,Street light repaired and working.
CMP0226,Streetlight in anna nagar remains off for several,Streetlight in anna nagar remains off for several days.,Street Lights,High,Block B,1,Street light repaired and working.
CMP0227,A single street lamp in main road near,A single street lamp in main road near the market flickers occasionally please look into this as soon as possible.,Street Lights,Low,First Cross Street,1,Street light repaired and working.
CMP0228,A single street lamp in first cross street,A single street lamp in first cross street flickers occasionally.,Street Lights,Low,Jubilee Bus Stop,1,Street light repaired and working.
CMP0229,All street lights are dark in sector 12,All street lights are dark in sector 12 creating safety issues at night.,Street Lights,High,Anna Nagar,1,Street light repaired and working.
CMP0230,A single street lamp in mg road flickers,A single street lamp in mg road flickers occasionally please look into this as soon as possible.,Street Lights,Low,Gandhi Street,0,Street light repaired and working.
CMP0231,A single street lamp in mg road flickers,A single street lamp in mg road flickers occasionally.,Street Lights,Low,Gandhi Street,1,Street light repaired and working.
CMP0232,Street light near jubilee bus stop has not,Street light near jubilee bus stop has not been working for 10 days please look into this as soon as possible.,Street Lights,High,Main Road Near The Market,1,Street light repaired and working.
CMP0233,A single street lamp in lake view road,A single street lamp in lake view road flickers occasionally.,Street Lights,Low,Gandhi Street,1,Street light repaired and working.
CMP0234,A single street lamp in first cross street,A single street lamp in first cross street flickers occasionally.,Street Lights,Low,Mg Road,1,Street light repaired and working.
CMP0235,All street lights are dark in gandhi street,All street lights are dark in gandhi street creating safety issues at night.,Street Lights,High,Gandhi Street,0,Street light repaired and working.
CMP0236,A single street lamp in first cross street,A single street lamp in first cross street flickers occasionally please look into this as soon as possible.,Street Lights,Low,Jubilee Bus Stop,1,Street light repaired and working.
CMP0237,A single street lamp in main road near,A single street lamp in main road near the market flickers occasionally.,Street Lights,Low,Kannagi Street,1,Street light repaired and working.
CMP0238,Street light near kannagi street has not been,Street light near kannagi street has not been working for 7 days please look into this as soon as possible.,Street Lights,High,First Cross Street,1,Street light repaired and working.
CMP0239,A single street lamp in sector 12 flickers,A single street lamp in sector 12 flickers occasionally.,Street Lights,Low,Sector 12,1,Street light repaired and working.
CMP0240,A single street lamp in lake view road,A single street lamp in lake view road flickers occasionally.,Street Lights,Low,Lake View Road,0,Street light repaired and working.
CMP0241,Buses skip kamaraj colony stop entirely hurting commuters,Buses skip kamaraj colony stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Kannagi Street,1,Transport issue escalated to the operator.
CMP0242,Buses skip main road near the market stop,Buses skip main road near the market stop entirely hurting commuters who reach office late.,Public Transport,High,Kannagi Street,1,Transport issue escalated to the operator.
CMP0243,Some town buses skip the kannagi street stop,Some town buses skip the kannagi street stop without notice please look into this as soon as possible.,Public Transport,Low,Block B,1,Transport issue escalated to the operator.
CMP0244,Bus stop at near the city school lacks,Bus stop at near the city school lacks shade and seating.,Public Transport,Low,Kamaraj Colony,1,Transport issue escalated to the operator.
CMP0245,Bus #42 in kamaraj colony frequently delays in,Bus #42 in kamaraj colony frequently delays in the morning.,Public Transport,Medium,Jubilee Bus Stop,0,Transport issue escalated to the operator.
CMP0246,Bus stop at main road near the market,Bus stop at main road near the market lacks shade and seating please look into this as soon as possible.,Public Transport,Low,Mg Road,1,Transport issue escalated to the operator.
CMP0247,Bus stop at main road near the market,Bus stop at main road near the market lacks shade and seating.,Public Transport,Low,Anna Nagar,1,Transport issue escalated to the operator.
CMP0248,Bus #42 in lake view road frequently delays,Bus #42 in lake view road frequently delays in the morning.,Public Transport,Medium,Main Road Near The Market,1,Transport issue escalated to the operator.
CMP0249,Some town buses skip the first cross street,Some town buses skip the first cross street stop without notice.,Public Transport,Low,Near The City School,1,Transport issue escalated to the operator.
CMP0250,Buses skip anna nagar stop entirely hurting commuters,Buses skip anna nagar stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Near The City School,0,Transport issue escalated to the operator.
CMP0251,Bus #42 in kamaraj colony frequently delays in,Bus #42 in kamaraj colony frequently delays in the morning.,Public Transport,Medium,Gandhi Street,1,Transport issue escalated to the operator.
CMP0252,Buses skip lake view road stop entirely hurting,Buses skip lake view road stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Sector 12,1,Transport issue escalated to the operator.
CMP0253,Metro service at lake view road has long,Metro service at lake view road has long gaps during office hours please look into this as soon as possible.,Public Transport,Medium,Mg Road,1,Transport issue escalated to the operator.
CMP0254,Buses skip sector 12 stop entirely hurting commuters,Buses skip sector 12 stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Block B,1,Transport issue escalated to the operator.
CMP0255,Bus stop at anna nagar lacks shade and,Bus stop at anna nagar lacks shade and seating please look into this as soon as possible.,Public Transport,Low,Block B,0,Transport issue escalated to the operator.
CMP0256,Metro service at kamaraj colony has long gaps,Metro service at kamaraj colony has long gaps during office hours please look into this as soon as possible.,Public Transport,Medium,Gandhi Street,1,Transport issue escalated to the operator.
CMP0257,Buses skip main road near the market stop,Buses skip main road near the market stop entirely hurting commuters who reach office late.,Public Transport,High,First Cross Street,1,Transport issue escalated to the operator.
CMP0258,Metro service at kannagi street has long gaps,Metro service at kannagi street has long gaps during office hours.,Public Transport,Medium,Anna Nagar,1,Transport issue escalated to the operator.
CMP0259,Bus stop at gandhi street lacks shade and,Bus stop at gandhi street lacks shade and seating.,Public Transport,Low,Near The City School,1,Transport issue escalated to the operator.
CMP0260,Some town buses skip the first cross street,Some town buses skip the first cross street stop without notice.,Public Transport,Low,Kannagi Street,0,Transport issue escalated to the operator.
CMP0261,Bus stop at jubilee bus stop lacks shade,Bus stop at jubilee bus stop lacks shade and seating.,Public Transport,Low,Near The City School,1,Transport issue escalated to the operator.
CMP0262,Some town buses skip the kannagi street stop,Some town buses skip the kannagi street stop without notice.,Public Transport,Low,Block B,1,Transport issue escalated to the operator.
CMP0263,Some town buses skip the sector 12 stop,Some town buses skip the sector 12 stop without notice.,Public Transport,Low,Kamaraj Colony,1,Transport issue escalated to the operator.
CMP0264,Buses skip block b stop entirely hurting commuters,Buses skip block b stop entirely hurting commuters who reach office late.,Public Transport,High,Kannagi Street,1,Transport issue escalated to the operator.
CMP0265,Buses skip sector 12 stop entirely hurting commuters,Buses skip sector 12 stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Jubilee Bus Stop,0,Transport issue escalated to the operator.
CMP0266,Bus stop at block b lacks shade and,Bus stop at block b lacks shade and seating please look into this as soon as possible.,Public Transport,Low,Block B,1,Transport issue escalated to the operator.
CMP0267,Bus #42 in mg road frequently delays in,Bus #42 in mg road frequently delays in the morning please look into this as soon as possible.,Public Transport,Medium,Mg Road,1,Transport issue escalated to the operator.
CMP0268,Some town buses skip the near the city,Some town buses skip the near the city school stop without notice.,Public Transport,Low,Mg Road,1,Transport issue escalated to the operator.
CMP0269,Buses skip mg road stop entirely hurting commuters,Buses skip mg road stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Kannagi Street,1,Transport issue escalated to the operator.
CMP0270,Some town buses skip the mg road stop,Some town buses skip the mg road stop without notice.,Public Transport,Low,Near The City School,0,Transport issue escalated to the operator.
CMP0271,Metro service at sector 12 has long gaps,Metro service at sector 12 has long gaps during office hours please look into this as soon as possible.,Public Transport,Medium,Gandhi Street,1,Transport issue escalated to the operator.
CMP0272,Bus #42 in jubilee bus stop frequently delays,Bus #42 in jubilee bus stop frequently delays in the morning please look into this as soon as possible.,Public Transport,Medium,Mg Road,1,Transport issue escalated to the operator.
CMP0273,Metro service at gandhi street has long gaps,Metro service at gandhi street has long gaps during office hours.,Public Transport,Medium,First Cross Street,1,Transport issue escalated to the operator.
CMP0274,Metro service at near the city school has,Metro service at near the city school has long gaps during office hours please look into this as soon as possible.,Public Transport,Medium,Near The City School,1,Transport issue escalated to the operator.
CMP0275,Bus stop at anna nagar lacks shade and,Bus stop at anna nagar lacks shade and seating please look into this as soon as possible.,Public Transport,Low,Jubilee Bus Stop,0,Transport issue escalated to the operator.
CMP0276,Buses skip sector 12 stop entirely hurting commuters,Buses skip sector 12 stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Block B,1,Transport issue escalated to the operator.
CMP0277,Buses skip gandhi street stop entirely hurting commuters,Buses skip gandhi street stop entirely hurting commuters who reach office late.,Public Transport,High,Main Road Near The Market,1,Transport issue escalated to the operator.
CMP0278,Some town buses skip the kamaraj colony stop,Some town buses skip the kamaraj colony stop without notice.,Public Transport,Low,Jubilee Bus Stop,1,Transport issue escalated to the operator.
CMP0279,Buses skip mg road stop entirely hurting commuters,Buses skip mg road stop entirely hurting commuters who reach office late please look into this as soon as possible.,Public Transport,High,Jubilee Bus Stop,1,Transport issue escalated to the operator.
CMP0280,Metro service at kamaraj colony has long gaps,Metro service at kamaraj colony has long gaps during office hours.,Public Transport,Medium,Mg Road,0,Transport issue escalated to the operator.
CMP0281,Parking rules are not followed near the jubilee,Parking rules are not followed near the jubilee bus stop market on weekends.,Traffic,Low,Main Road Near The Market,1,Traffic management improved at the location.
CMP0282,Heavy vehicles park near mg road blocking visibility,Heavy vehicles park near mg road blocking visibility and traffic.,Traffic,High,Main Road Near The Market,1,Traffic management improved at the location.
CMP0283,Parking rules are not followed near the kamaraj,Parking rules are not followed near the kamaraj colony market on weekends.,Traffic,Low,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0284,Traffic signal near mg road is not working,Traffic signal near mg road is not working causing long jams.,Traffic,Medium,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0285,Rush hour congestion at kamaraj colony junction has,Rush hour congestion at kamaraj colony junction has increased a lot.,Traffic,Medium,Jubilee Bus Stop,0,Traffic management improved at the location.
CMP0286,Rash driving near block b has caused two,Rash driving near block b has caused two accidents this week please look into this as soon as possible.,Traffic,High,Kamaraj Colony,1,Traffic management improved at the location.
CMP0287,Traffic signal near mg road is not working,Traffic signal near mg road is not working causing long jams.,Traffic,Medium,Near The City School,1,Traffic management improved at the location.
CMP0288,Rush hour congestion at main road near the,Rush hour congestion at main road near the market junction has increased a lot please look into this as soon as possible.,Traffic,Medium,First Cross Street,1,Traffic management improved at the location.
CMP0289,Parking rules are not followed near the first,Parking rules are not followed near the first cross street market on weekends please look into this as soon as possible.,Traffic,Low,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0290,Parking rules are not followed near the gandhi,Parking rules are not followed near the gandhi street market on weekends please look into this as soon as possible.,Traffic,Low,First Cross Street,0,Traffic management improved at the location.
CMP0291,Rash driving near sector 12 has caused two,Rash driving near sector 12 has caused two accidents this week please look into this as soon as possible.,Traffic,High,Gandhi Street,1,Traffic management improved at the location.
CMP0292,Rush hour congestion at mg road junction has,Rush hour congestion at mg road junction has increased a lot.,Traffic,Medium,Gandhi Street,1,Traffic management improved at the location.
CMP0293,Heavy vehicles park near sector 12 blocking visibility,Heavy vehicles park near sector 12 blocking visibility and traffic.,Traffic,High,Main Road Near The Market,1,Traffic management improved at the location.
CMP0294,Traffic signal near kamaraj colony is not working,Traffic signal near kamaraj colony is not working causing long jams.,Traffic,Medium,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0295,Parking rules are not followed near the first,Parking rules are not followed near the first cross street market on weekends.,Traffic,Low,Kannagi Street,0,Traffic management improved at the location.
CMP0296,Rash driving near main road near the market,Rash driving near main road near the market has caused two accidents this week.,Traffic,High,Sector 12,1,Traffic management improved at the location.
CMP0297,Rush hour congestion at kannagi street junction has,Rush hour congestion at kannagi street junction has increased a lot.,Traffic,Medium,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0298,Rush hour congestion at anna nagar junction has,Rush hour congestion at anna nagar junction has increased a lot.,Traffic,Medium,Block B,1,Traffic management improved at the location.
CMP0299,Rash driving near jubilee bus stop has caused,Rash driving near jubilee bus stop has caused two accidents this week please look into this as soon as possible.,Traffic,High,Kannagi Street,1,Traffic management improved at the location.
CMP0300,Parking rules are not followed near the main,Parking rules are not followed near the main road near the market market on weekends please look into this as soon as possible.,Traffic,Low,Gandhi Street,0,Traffic management improved at the location.
CMP0301,Parking rules are not followed near the first,Parking rules are not followed near the first cross street market on weekends.,Traffic,Low,Anna Nagar,1,Traffic management improved at the location.
CMP0302,Traffic signal near kamaraj colony is not working,Traffic signal near kamaraj colony is not working causing long jams.,Traffic,Medium,Sector 12,1,Traffic management improved at the location.
CMP0303,Parking rules are not followed near the kannagi,Parking rules are not followed near the kannagi street market on weekends please look into this as soon as possible.,Traffic,Low,Kamaraj Colony,1,Traffic management improved at the location.
CMP0304,Traffic signal near block b is not working,Traffic signal near block b is not working causing long jams.,Traffic,Medium,Near The City School,1,Traffic management improved at the location.
CMP0305,Rash driving near kannagi street has caused two,Rash driving near kannagi street has caused two accidents this week.,Traffic,High,Near The City School,0,Traffic management improved at the location.
CMP0306,Parking rules are not followed near the mg,Parking rules are not followed near the mg road market on weekends.,Traffic,Low,First Cross Street,1,Traffic management improved at the location.
CMP0307,Rush hour congestion at lake view road junction,Rush hour congestion at lake view road junction has increased a lot.,Traffic,Medium,Block B,1,Traffic management improved at the location.
CMP0308,Parking rules are not followed near the main,Parking rules are not followed near the main road near the market market on weekends.,Traffic,Low,Sector 12,1,Traffic management improved at the location.
CMP0309,Rash driving near sector 12 has caused two,Rash driving near sector 12 has caused two accidents this week.,Traffic,High,Sector 12,1,Traffic management improved at the location.
CMP0310,Parking rules are not followed near the lake,Parking rules are not followed near the lake view road market on weekends.,Traffic,Low,Mg Road,0,Traffic management improved at the location.
CMP0311,Heavy vehicles park near kamaraj colony blocking visibility,Heavy vehicles park near kamaraj colony blocking visibility and traffic please look into this as soon as possible.,Traffic,High,Kannagi Street,1,Traffic management improved at the location.
CMP0312,Rash driving near first cross street has caused,Rash driving near first cross street has caused two accidents this week.,Traffic,High,Near The City School,1,Traffic management improved at the location.
CMP0313,Parking rules are not followed near the main,Parking rules are not followed near the main road near the market market on weekends.,Traffic,Low,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0314,Parking rules are not followed near the mg,Parking rules are not followed near the mg road market on weekends.,Traffic,Low,Gandhi Street,1,Traffic management improved at the location.
CMP0315,Parking rules are not followed near the main,Parking rules are not followed near the main road near the market market on weekends.,Traffic,Low,Gandhi Street,0,Traffic management improved at the location.
CMP0316,Rush hour congestion at block b junction has,Rush hour congestion at block b junction has increased a lot.,Traffic,Medium,Anna Nagar,1,Traffic management improved at the location.
CMP0317,Heavy vehicles park near sector 12 blocking visibility,Heavy vehicles park near sector 12 blocking visibility and traffic.,Traffic,High,Sector 12,1,Traffic management improved at the location.
CMP0318,Heavy vehicles park near anna nagar blocking visibility,Heavy vehicles park near anna nagar blocking visibility and traffic.,Traffic,High,Kamaraj Colony,1,Traffic management improved at the location.
CMP0319,Rash driving near mg road has caused two,Rash driving near mg road has caused two accidents this week please look into this as soon as possible.,Traffic,High,Jubilee Bus Stop,1,Traffic management improved at the location.
CMP0320,Heavy vehicles park near first cross street blocking,Heavy vehicles park near first cross street blocking visibility and traffic.,Traffic,High,Lake View Road,0,Traffic management improved at the location.
CMP0321,Stray dogs are aggressive near gandhi street school,Stray dogs are aggressive near gandhi street school in the morning.,Public Safety,High,Sector 12,1,Safety hazard secured by the department.
CMP0322,Stray dogs are aggressive near first cross street,Stray dogs are aggressive near first cross street school in the morning please look into this as soon as possible.,Public Safety,High,Near The City School,1,Safety hazard secured by the department.
CMP0323,Electrical wires are hanging dangerously low near kamaraj,Electrical wires are hanging dangerously low near kamaraj colony please look into this as soon as possible.,Public Safety,Critical,Jubilee Bus Stop,1,Safety hazard secured by the department.
CMP0324,Dark zone at kamaraj colony due to missing,Dark zone at kamaraj colony due to missing lights is affecting safety.,Public Safety,Medium,Lake View Road,1,Safety hazard secured by the department.
CMP0325,Electrical wires are hanging dangerously low near gandhi,Electrical wires are hanging dangerously low near gandhi street.,Public Safety,Critical,First Cross Street,0,Safety hazard secured by the department.
CMP0326,A collapsed structure on kamaraj colony street is,A collapsed structure on kamaraj colony street is partially blocking the way.,Public Safety,High,Anna Nagar,1,Safety hazard secured by the department.
CMP0327,Electrical wires are hanging dangerously low near mg,Electrical wires are hanging dangerously low near mg road.,Public Safety,Critical,First Cross Street,1,Safety hazard secured by the department.
CMP0328,Dark zone at anna nagar due to missing,Dark zone at anna nagar due to missing lights is affecting safety.,Public Safety,Medium,Mg Road,1,Safety hazard secured by the department.
CMP0329,Stray dogs are aggressive near main road near,Stray dogs are aggressive near main road near the market school in the morning please look into this as soon as possible.,Public Safety,High,Mg Road,1,Safety hazard secured by the department.
CMP0330,A collapsed structure on lake view road street,A collapsed structure on lake view road street is partially blocking the way please look into this as soon as possible.,Public Safety,High,Main Road Near The Market,0,Safety hazard secured by the department.
CMP0331,Dark zone at jubilee bus stop due to,Dark zone at jubilee bus stop due to missing lights is affecting safety.,Public Safety,Medium,Kannagi Street,1,Safety hazard secured by the department.
CMP0332,Dark zone at sector 12 due to missing,Dark zone at sector 12 due to missing lights is affecting safety.,Public Safety,Medium,Mg Road,1,Safety hazard secured by the department.
CMP0333,Stray dogs are aggressive near kannagi street school,Stray dogs are aggressive near kannagi street school in the morning.,Public Safety,High,Gandhi Street,1,Safety hazard secured by the department.
CMP0334,Dark zone at sector 12 due to missing,Dark zone at sector 12 due to missing lights is affecting safety please look into this as soon as possible.,Public Safety,Medium,Kamaraj Colony,1,Safety hazard secured by the department.
CMP0335,Dark zone at block b due to missing,Dark zone at block b due to missing lights is affecting safety please look into this as soon as possible.,Public Safety,Medium,Gandhi Street,0,Safety hazard secured by the department.
CMP0336,An abandoned building near main road near the,An abandoned building near main road near the market is open and children play inside please look into this as soon as possible.,Public Safety,Critical,Main Road Near The Market,1,Safety hazard secured by the department.
CMP0337,Dark zone at kannagi street due to missing,Dark zone at kannagi street due to missing lights is affecting safety.,Public Safety,Medium,Jubilee Bus Stop,1,Safety hazard secured by the department.
CMP0338,Dark zone at first cross street due to,Dark zone at first cross street due to missing lights is affecting safety.,Public Safety,Medium,Kamaraj Colony,1,Safety hazard secured by the department.
CMP0339,Stray dogs are aggressive near first cross street,Stray dogs are aggressive near first cross street school in the morning.,Public Safety,High,Mg Road,1,Safety hazard secured by the department.
CMP0340,Open manhole on the sector 12 road is,Open manhole on the sector 12 road is a serious hazard for pedestrians please look into this as soon as possible.,Public Safety,Critical,Block B,0,Safety hazard secured by the department.
CMP0341,An abandoned building near gandhi street is open,An abandoned building near gandhi street is open and children play inside.,Public Safety,Critical,Near The City School,1,Safety hazard secured by the department.
CMP0342,A collapsed structure on sector 12 street is,A collapsed structure on sector 12 street is partially blocking the way.,Public Safety,High,Kannagi Street,1,Safety hazard secured by the department.
CMP0343,Open manhole on the lake view road road,Open manhole on the lake view road road is a serious hazard for pedestrians.,Public Safety,Critical,Sector 12,1,Safety hazard secured by the department.
CMP0344,A collapsed structure on near the city school,A collapsed structure on near the city school street is partially blocking the way please look into this as soon as possible.,Public Safety,High,Jubilee Bus Stop,1,Safety hazard secured by the department.
CMP0345,Dark zone at gandhi street due to missing,Dark zone at gandhi street due to missing lights is affecting safety.,Public Safety,Medium,Jubilee Bus Stop,0,Safety hazard secured by the department.
CMP0346,Electrical wires are hanging dangerously low near mg,Electrical wires are hanging dangerously low near mg road please look into this as soon as possible.,Public Safety,Critical,Main Road Near The Market,1,Safety hazard secured by the department.
CMP0347,Stray dogs are aggressive near kannagi street school,Stray dogs are aggressive near kannagi street school in the morning please look into this as soon as possible.,Public Safety,High,Main Road Near The Market,1,Safety hazard secured by the department.
CMP0348,Open manhole on the first cross street road,Open manhole on the first cross street road is a serious hazard for pedestrians please look into this as soon as possible.,Public Safety,Critical,Sector 12,1,Safety hazard secured by the department.
CMP0349,Stray dogs are aggressive near kamaraj colony school,Stray dogs are aggressive near kamaraj colony school in the morning.,Public Safety,High,Sector 12,1,Safety hazard secured by the department.
CMP0350,Stray dogs are aggressive near mg road school,Stray dogs are aggressive near mg road school in the morning.,Public Safety,High,Kannagi Street,0,Safety hazard secured by the department.
